sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
21;SDS011;1;-29.848;30.922;2017-11-24T14:21:55.531488+00:00;P2;5.00
21;SDS011;1;-29.848;30.922;2017-11-24T14:21:55.531488+00:00;P1;12.23
21;SDS011;1;-29.848;30.922;2017-11-24T17:13:18.557585+00:00;P2;13.07
21;SDS011;1;-29.848;30.922;2017-11-24T17:13:18.557585+00:00;P1;25.03
21;SDS011;1;-29.848;30.922;2017-11-24T17:27:16.687106+00:00;P2;13.50
21;SDS011;1;-29.848;30.922;2017-11-24T17:27:16.687106+00:00;P1;36.53
21;SDS011;1;-29.848;30.922;2017-11-24T17:35:29.732211+00:00;P2;13.60
21;SDS011;1;-29.848;30.922;2017-11-24T17:35:29.732211+00:00;P1;38.50
21;SDS011;1;-29.848;30.922;2017-11-24T17:46:49.968367+00:00;P2;11.30
21;SDS011;1;-29.848;30.922;2017-11-24T17:46:49.968367+00:00;P1;34.27
21;SDS011;1;-29.848;30.922;2017-11-24T17:54:23.458827+00:00;P2;11.00
21;SDS011;1;-29.848;30.922;2017-11-24T17:54:23.458827+00:00;P1;20.97
21;SDS011;1;-29.848;30.922;2017-11-24T18:49:31.120528+00:00;P2;7.83
21;SDS011;1;-29.848;30.922;2017-11-24T18:49:31.120528+00:00;P1;16.73
21;SDS011;1;-29.848;30.922;2017-11-24T19:02:02.633540+00:00;P2;7.60
21;SDS011;1;-29.848;30.922;2017-11-24T19:02:02.633540+00:00;P1;12.10
21;SDS011;1;-29.848;30.922;2017-11-27T06:37:57.784536+00:00;P2;10.40
21;SDS011;1;-29.848;30.922;2017-11-27T06:37:57.784536+00:00;P1;17.83
21;SDS011;1;-29.848;30.922;2017-11-27T06:42:07.330328+00:00;P2;8.40
21;SDS011;1;-29.848;30.922;2017-11-27T06:42:07.330328+00:00;P1;18.03
21;SDS011;1;-29.848;30.922;2017-11-27T06:46:12.576617+00:00;P2;9.67
21;SDS011;1;-29.848;30.922;2017-11-27T06:46:12.576617+00:00;P1;23.17
21;SDS011;1;-29.848;30.922;2017-11-27T07:01:31.957948+00:00;P2;11.57
21;SDS011;1;-29.848;30.922;2017-11-27T07:01:31.957948+00:00;P1;27.53
21;SDS011;1;-29.848;30.922;2017-11-27T07:04:32.628641+00:00;P2;10.37
21;SDS011;1;-29.848;30.922;2017-11-27T07:04:32.628641+00:00;P1;20.10
21;SDS011;1;-29.848;30.922;2017-11-27T07:08:01.595677+00:00;P2;10.33
21;SDS011;1;-29.848;30.922;2017-11-27T07:08:01.595677+00:00;P1;19.40
21;SDS011;1;-29.848;30.922;2017-11-27T07:10:56.426596+00:00;P2;10.20
21;SDS011;1;-29.848;30.922;2017-11-27T07:10:56.426596+00:00;P1;18.20
21;SDS011;1;-29.848;30.922;2017-11-27T07:13:54.152009+00:00;P2;9.40
21;SDS011;1;-29.848;30.922;2017-11-27T07:13:54.152009+00:00;P1;19.30
21;SDS011;1;-29.848;30.922;2017-11-27T07:16:48.777608+00:00;P2;6.97
21;SDS011;1;-29.848;30.922;2017-11-27T07:16:48.777608+00:00;P1;11.53
21;SDS011;1;-29.848;30.922;2017-11-27T07:19:47.104650+00:00;P2;9.70
21;SDS011;1;-29.848;30.922;2017-11-27T07:19:47.104650+00:00;P1;15.20
21;SDS011;1;-29.848;30.922;2017-11-27T07:22:41.675972+00:00;P2;8.37
21;SDS011;1;-29.848;30.922;2017-11-27T07:22:41.675972+00:00;P1;15.50
21;SDS011;1;-29.848;30.922;2017-11-27T07:25:36.921306+00:00;P2;7.00
21;SDS011;1;-29.848;30.922;2017-11-27T07:25:36.921306+00:00;P1;14.80
21;SDS011;1;-29.848;30.922;2017-11-27T07:28:32.555589+00:00;P2;8.80
21;SDS011;1;-29.848;30.922;2017-11-27T07:28:32.555589+00:00;P1;19.00
21;SDS011;1;-29.848;30.922;2017-11-27T07:31:36.511007+00:00;P2;9.53
21;SDS011;1;-29.848;30.922;2017-11-27T07:31:36.511007+00:00;P1;19.40
21;SDS011;1;-29.848;30.922;2017-11-27T07:37:24.492531+00:00;P2;7.40
21;SDS011;1;-29.848;30.922;2017-11-27T07:37:24.492531+00:00;P1;13.73
21;SDS011;1;-29.848;30.922;2017-11-27T07:46:11.181484+00:00;P2;5.73
21;SDS011;1;-29.848;30.922;2017-11-27T07:46:11.181484+00:00;P1;10.20
21;SDS011;1;-29.848;30.922;2017-11-27T07:49:04.066976+00:00;P2;6.10
21;SDS011;1;-29.848;30.922;2017-11-27T07:49:04.066976+00:00;P1;20.97
21;SDS011;1;-29.848;30.922;2017-11-27T07:54:52.032520+00:00;P2;8.20
21;SDS011;1;-29.848;30.922;2017-11-27T07:54:52.032520+00:00;P1;22.57
21;SDS011;1;-29.848;30.922;2017-11-27T07:57:50.157263+00:00;P2;6.67
21;SDS011;1;-29.848;30.922;2017-11-27T07:57:50.157263+00:00;P1;13.53
21;SDS011;1;-29.848;30.922;2017-11-27T08:03:53.950433+00:00;P2;6.70
21;SDS011;1;-29.848;30.922;2017-11-27T08:03:53.950433+00:00;P1;13.00
21;SDS011;1;-29.848;30.922;2017-11-27T08:21:11.560684+00:00;P2;6.37
21;SDS011;1;-29.848;30.922;2017-11-27T08:21:11.560684+00:00;P1;13.93
21;SDS011;1;-29.848;30.922;2017-11-27T08:24:06.265886+00:00;P2;6.13
21;SDS011;1;-29.848;30.922;2017-11-27T08:24:06.265886+00:00;P1;14.20
21;SDS011;1;-29.848;30.922;2017-11-27T08:27:04.436770+00:00;P2;7.10
